model,word,layer,n_layers,stratum,representation,n,accuracy,accuracy_sd
llama-3-8b,just,16,32,all,combined,40,0.75,0.15811388300841897
llama-3-8b,just,16,32,semcor,context,40,0.6,0.1224744871391589
llama-3-8b,just,16,32,semcor,target,40,0.7,0.203100960115899
llama-3-8b,just,16,32,semcor,combined,40,0.75,0.15811388300841897
qwen2.5-7b,just,14,28,all,context,40,0.475,0.1224744871391589
qwen2.5-7b,just,14,28,all,target,40,0.675,0.203100960115899
qwen2.5-7b,just,14,28,all,combined,40,0.625,0.15811388300841897
qwen2.5-7b,just,14,28,semcor,context,40,0.475,0.1224744871391589
qwen2.5-7b,just,14,28,semcor,target,40,0.675,0.203100960115899
qwen2.5-7b,just,14,28,semcor,combined,40,0.625,0.15811388300841897
llama-3-8b,less,16,32,all,context,40,0.475,0.22912878474779202
llama-3-8b,less,16,32,all,target,40,0.6,0.21505813167606566
llama-3-8b,less,16,32,all,combined,40,0.65,0.16583123951777
llama-3-8b,less,16,32,semcor,context,40,0.475,0.22912878474779202
llama-3-8b,less,16,32,semcor,target,40,0.6,0.21505813167606566
llama-3-8b,less,16,32,semcor,combined,40,0.65,0.16583123951777
qwen2.5-7b,less,14,28,all,context,40,0.4,0.18371173070873836
qwen2.5-7b,less,14,28,all,target,40,0.575,0.18708286933869706
qwen2.5-7b,less,14,28,all,combined,40,0.575,0.18708286933869706
qwen2.5-7b,less,14,28,semcor,context,40,0.4,0.18371173070873836
qwen2.5-7b,less,14,28,semcor,target,40,0.575,0.18708286933869706
qwen2.5-7b,less,14,28,semcor,combined,40,0.575,0.18708286933869706
llama-3-8b,little,16,32,all,context,40,0.8,0.09999999999999999
llama-3-8b,little,16,32,all,target,40,0.925,0.15
llama-3-8b,little,16,32,all,combined,40,0.925,0.15
llama-3-8b,little,16,32,semcor,context,40,0.8,0.09999999999999999
llama-3-8b,little,16,32,semcor,target,40,0.925,0.15
llama-3-8b,little,16,32,semcor,combined,40,0.925,0.15
qwen2.5-7b,little,14,28,all,context,40,0.75,0.07905694150420949
qwen2.5-7b,little,14,28,all,target,40,0.95,0.09999999999999999
qwen2.5-7b,little,14,28,all,combined,40,0.95,0.09999999999999999
qwen2.5-7b,little,14,28,semcor,context,40,0.75,0.07905694150420949
qwen2.5-7b,little,14,28,semcor,target,40,0.95,0.09999999999999999
qwen2.5-7b,little,14,28,semcor,combined,40,0.95,0.09999999999999999
llama-3-8b,major,16,32,all,context,40,0.4,0.1457737973711325
llama-3-8b,major,16,32,all,target,40,0.675,0.09999999999999999
llama-3-8b,major,16,32,all,combined,40,0.625,0.13693063937629152
llama-3-8b,major,16,32,semcor,context,40,0.4,0.1457737973711325
llama-3-8b,major,16,32,semcor,target,40,0.675,0.09999999999999999
llama-3-8b,major,16,32,semcor,combined,40,0.625,0.13693063937629152
qwen2.5-7b,major,14,28,all,context,40,0.375,0.07905694150420949
qwen2.5-7b,major,14,28,all,target,40,0.675,0.09999999999999999
qwen2.5-7b,major,14,28,all,combined,40,0.575,0.1274754878398196
qwen2.5-7b,major,14,28,semcor,context,40,0.375,0.07905694150420949
qwen2.5-7b,major,14,28,semcor,target,40,0.675,0.09999999999999999
qwen2.5-7b,major,14,28,semcor,combined,40,0.575,0.1274754878398196
llama-3-8b,more,16,32,all,context,40,0.45,0.12747548783981963
llama-3-8b,more,16,32,all,target,40,0.8,0.1274754878398196
llama-3-8b,more,16,32,all,combined,40,0.675,0.1274754878398196
llama-3-8b,more,16,32,semcor,context,40,0.45,0.12747548783981963
llama-3-8b,more,16,32,semcor,target,40,0.8,0.1274754878398196
llama-3-8b,more,16,32,semcor,combined,40,0.675,0.1274754878398196
qwen2.5-7b,more,14,28,all,context,40,0.45,0.16955824957813173
qwen2.5-7b,more,14,28,all,target,40,0.725,0.09354143466934853
qwen2.5-7b,more,14,28,all,combined,40,0.6,0.1457737973711325
qwen2.5-7b,more,14,28,semcor,context,40,0.45,0.16955824957813173
qwen2.5-7b,more,14,28,semcor,target,40,0.725,0.09354143466934853
qwen2.5-7b,more,14,28,semcor,combined,40,0.6,0.1457737973711325
llama-3-8b,most,16,32,all,context,40,0.75,0.2091650066335189
llama-3-8b,most,16,32,all,target,40,0.975,0.049999999999999996
llama-3-8b,most,16,32,all,combined,40,0.975,0.049999999999999996
llama-3-8b,most,16,32,semcor,context,40,0.75,0.2091650066335189
llama-3-8b,most,16,32,semcor,target,40,0.975,0.049999999999999996
llama-3-8b,most,16,32,semcor,combined,40,0.975,0.049999999999999996
qwen2.5-7b,most,14,28,all,context,40,0.625,0.11180339887498948
qwen2.5-7b,most,14,28,all,target,40,0.95,0.09999999999999999
qwen2.5-7b,most,14,28,all,combined,40,0.95,0.09999999999999999
qwen2.5-7b,most,14,28,semcor,context,40,0.625,0.11180339887498948
qwen2.5-7b,most,14,28,semcor,target,40,0.95,0.09999999999999999
qwen2.5-7b,most,14,28,semcor,combined,40,0.95,0.09999999999999999
llama-3-8b,much,16,32,all,context,40,0.65,0.1457737973711325
llama-3-8b,much,16,32,all,target,40,0.875,0.07905694150420949
llama-3-8b,much,16,32,all,combined,40,0.825,0.09999999999999999
llama-3-8b,much,16,32,semcor,context,40,0.65,0.1457737973711325
llama-3-8b,much,16,32,semcor,target,40,0.875,0.07905694150420949
llama-3-8b,much,16,32,semcor,combined,40,0.825,0.09999999999999999
qwen2.5-7b,much,14,28,all,context,40,0.5,0.11180339887498948
qwen2.5-7b,much,14,28,all,target,40,0.875,0.07905694150420949
qwen2.5-7b,much,14,28,all,combined,40,0.8,0.06123724356957946
qwen2.5-7b,much,14,28,semcor,context,40,0.5,0.11180339887498948
qwen2.5-7b,much,14,28,semcor,target,40,0.875,0.07905694150420949
qwen2.5-7b,much,14,28,semcor,combined,40,0.8,0.06123724356957946
llama-3-8b,no,16,32,all,context,40,0.675,0.1
llama-3-8b,no,16,32,all,target,40,0.575,0.15
llama-3-8b,no,16,32,all,combined,40,0.675,0.1274754878398196
llama-3-8b,no,16,32,semcor,context,40,0.675,0.1
llama-3-8b,no,16,32,semcor,target,40,0.575,0.15
llama-3-8b,no,16,32,semcor,combined,40,0.675,0.1274754878398196
qwen2.5-7b,no,14,28,all,context,40,0.775,0.049999999999999996
qwen2.5-7b,no,14,28,all,target,40,0.65,0.1837117307087384
qwen2.5-7b,no,14,28,all,combined,40,0.75,0.11180339887498948
qwen2.5-7b,no,14,28,semcor,context,40,0.775,0.049999999999999996
qwen2.5-7b,no,14,28,semcor,target,40,0.65,0.1837117307087384
qwen2.5-7b,no,14,28,semcor,combined,40,0.75,0.11180339887498948
llama-3-8b,now,16,32,all,context,40,0.75,0.07905694150420949
llama-3-8b,now,16,32,all,target,40,0.575,0.1695582495781317
llama-3-8b,now,16,32,all,combined,40,0.65,0.16583123951777
llama-3-8b,now,16,32,semcor,context,40,0.75,0.07905694150420949
llama-3-8b,now,16,32,semcor,target,40,0.575,0.1695582495781317
llama-3-8b,now,16,32,semcor,combined,40,0.65,0.16583123951777
qwen2.5-7b,now,14,28,all,context,40,0.7,0.09999999999999999
qwen2.5-7b,now,14,28,all,target,40,0.6,0.16583123951777
qwen2.5-7b,now,14,28,all,combined,40,0.7,0.1274754878398196
qwen2.5-7b,now,14,28,semcor,context,40,0.7,0.09999999999999999
qwen2.5-7b,now,14,28,semcor,target,40,0.6,0.16583123951777
qwen2.5-7b,now,14,28,semcor,combined,40,0.7,0.1274754878398196
llama-3-8b,only,16,32,all,context,40,0.75,0.15811388300841897
llama-3-8b,only,16,32,all,target,40,0.75,0.11180339887498948
llama-3-8b,only,16,32,all,combined,40,0.75,0.2091650066335189
llama-3-8b,only,16,32,semcor,context,40,0.75,0.15811388300841897
llama-3-8b,only,16,32,semcor,target,40,0.75,0.11180339887498948
llama-3-8b,only,16,32,semcor,combined,40,0.75,0.2091650066335189
qwen2.5-7b,only,14,28,all,context,40,0.675,0.203100960115899
qwen2.5-7b,only,14,28,all,target,40,0.7,0.1695582495781317
qwen2.5-7b,only,14,28,all,combined,40,0.75,0.1767766952966369
qwen2.5-7b,only,14,28,semcor,context,40,0.675,0.203100960115899
qwen2.5-7b,only,14,28,semcor,target,40,0.7,0.1695582495781317
qwen2.5-7b,only,14,28,semcor,combined,40,0.75,0.1767766952966369
llama-3-8b,past,16,32,all,context,40,0.6,0.1224744871391589
llama-3-8b,past,16,32,all,target,40,0.775,0.09354143466934853
llama-3-8b,past,16,32,all,combined,40,0.725,0.049999999999999996
llama-3-8b,past,16,32,semcor,context,40,0.6,0.1224744871391589
llama-3-8b,past,16,32,semcor,target,40,0.775,0.09354143466934853
llama-3-8b,past,16,32,semcor,combined,40,0.725,0.049999999999999996
qwen2.5-7b,past,14,28,all,context,40,0.675,0.15
qwen2.5-7b,past,14,28,all,target,40,0.775,0.09354143466934853
qwen2.5-7b,past,14,28,all,combined,40,0.675,0.15
qwen2.5-7b,past,14,28,semcor,context,40,0.675,0.15
qwen2.5-7b,past,14,28,semcor,target,40,0.775,0.09354143466934853
qwen2.5-7b,past,14,28,semcor,combined,40,0.675,0.15
llama-3-8b,present,16,32,all,context,40,0.775,0.09354143466934853
llama-3-8b,present,16,32,all,target,40,0.975,0.049999999999999996
llama-3-8b,present,16,32,all,combined,40,0.975,0.049999999999999996
llama-3-8b,present,16,32,semcor,context,40,0.775,0.09354143466934853
llama-3-8b,present,16,32,semcor,target,40,0.975,0.049999999999999996
llama-3-8b,present,16,32,semcor,combined,40,0.975,0.049999999999999996
qwen2.5-7b,present,14,28,all,context,40,0.8,0.06123724356957946
qwen2.5-7b,present,14,28,all,target,40,0.975,0.049999999999999996
qwen2.5-7b,present,14,28,all,combined,40,0.975,0.049999999999999996
qwen2.5-7b,present,14,28,semcor,context,40,0.8,0.06123724356957946
qwen2.5-7b,present,14,28,semcor,target,40,0.975,0.049999999999999996
qwen2.5-7b,present,14,28,semcor,combined,40,0.975,0.049999999999999996
llama-3-8b,public,16,32,all,context,40,0.675,0.06123724356957946
llama-3-8b,public,16,32,all,target,40,0.625,0.1767766952966369
llama-3-8b,public,16,32,all,combined,40,0.675,0.1274754878398196
llama-3-8b,public,16,32,semcor,context,40,0.675,0.06123724356957946
llama-3-8b,public,16,32,semcor,target,40,0.625,0.1767766952966369
llama-3-8b,public,16,32,semcor,combined,40,0.675,0.1274754878398196
qwen2.5-7b,public,14,28,all,context,40,0.7,0.06123724356957945
qwen2.5-7b,public,14,28,all,target,40,0.65,0.09354143466934853
qwen2.5-7b,public,14,28,all,combined,40,0.7,0.15
qwen2.5-7b,public,14,28,semcor,context,40,0.7,0.06123724356957945
qwen2.5-7b,public,14,28,semcor,target,40,0.65,0.09354143466934853
qwen2.5-7b,public,14,28,semcor,combined,40,0.7,0.15
llama-3-8b,quite,16,32,all,context,40,0.575,0.1274754878398196
llama-3-8b,quite,16,32,all,target,40,0.7,0.09999999999999999
llama-3-8b,quite,16,32,all,combined,40,0.625,0.07905694150420949
llama-3-8b,quite,16,32,semcor,context,40,0.575,0.1274754878398196
llama-3-8b,quite,16,32,semcor,target,40,0.7,0.09999999999999999
llama-3-8b,quite,16,32,semcor,combined,40,0.625,0.07905694150420949
qwen2.5-7b,quite,14,28,all,context,40,0.6,0.049999999999999996
qwen2.5-7b,quite,14,28,all,target,40,0.675,0.06123724356957945
qwen2.5-7b,quite,14,28,all,combined,40,0.675,0.06123724356957946
qwen2.5-7b,quite,14,28,semcor,context,40,0.6,0.049999999999999996
qwen2.5-7b,quite,14,28,semcor,target,40,0.675,0.06123724356957945
qwen2.5-7b,quite,14,28,semcor,combined,40,0.675,0.06123724356957946
llama-3-8b,rather,16,32,all,context,40,0.675,0.1695582495781317
llama-3-8b,rather,16,32,all,target,40,0.9,0.09354143466934853
llama-3-8b,rather,16,32,all,combined,40,0.9,0.09354143466934853
llama-3-8b,rather,16,32,semcor,context,40,0.675,0.1695582495781317
llama-3-8b,rather,16,32,semcor,target,40,0.9,0.09354143466934853
llama-3-8b,rather,16,32,semcor,combined,40,0.9,0.09354143466934853
qwen2.5-7b,rather,14,28,all,context,40,0.7,0.06123724356957946
qwen2.5-7b,rather,14,28,all,target,40,0.875,0.07905694150420949
qwen2.5-7b,rather,14,28,all,combined,40,0.9,0.049999999999999996
qwen2.5-7b,rather,14,28,semcor,context,40,0.7,0.06123724356957946
qwen2.5-7b,rather,14,28,semcor,target,40,0.875,0.07905694150420949
qwen2.5-7b,rather,14,28,semcor,combined,40,0.9,0.049999999999999996
llama-3-8b,really,16,32,all,context,40,0.5,0.15811388300841897
llama-3-8b,really,16,32,all,target,40,0.575,0.1274754878398196
llama-3-8b,really,16,32,all,combined,40,0.55,0.1695582495781317
llama-3-8b,really,16,32,semcor,context,40,0.5,0.15811388300841897
llama-3-8b,really,16,32,semcor,target,40,0.575,0.1274754878398196
llama-3-8b,really,16,32,semcor,combined,40,0.55,0.1695582495781317
qwen2.5-7b,really,14,28,all,context,40,0.475,0.09354143466934853
qwen2.5-7b,really,14,28,all,target,40,0.65,0.1457737973711325
qwen2.5-7b,really,14,28,all,combined,40,0.625,0.07905694150420949
qwen2.5-7b,really,14,28,semcor,context,40,0.475,0.09354143466934853
qwen2.5-7b,really,14,28,semcor,target,40,0.65,0.1457737973711325
qwen2.5-7b,really,14,28,semcor,combined,40,0.625,0.07905694150420949
llama-3-8b,same,16,32,all,context,40,0.55,0.09999999999999999
llama-3-8b,same,16,32,all,target,40,0.6,0.1224744871391589
llama-3-8b,same,16,32,all,combined,40,0.675,0.1
llama-3-8b,same,16,32,semcor,context,40,0.55,0.09999999999999999
llama-3-8b,same,16,32,semcor,target,40,0.6,0.1224744871391589
llama-3-8b,same,16,32,semcor,combined,40,0.675,0.1
qwen2.5-7b,same,14,28,all,context,40,0.6,0.09354143466934853
qwen2.5-7b,same,14,28,all,target,40,0.675,0.1695582495781317
qwen2.5-7b,same,14,28,all,combined,40,0.75,0.07905694150420949
qwen2.5-7b,same,14,28,semcor,context,40,0.6,0.09354143466934853
qwen2.5-7b,same,14,28,semcor,target,40,0.675,0.1695582495781317
qwen2.5-7b,same,14,28,semcor,combined,40,0.75,0.07905694150420949
llama-3-8b,so,16,32,all,context,40,0.625,0.13693063937629152
llama-3-8b,so,16,32,all,target,40,0.9,0.1224744871391589
llama-3-8b,so,16,32,all,combined,40,0.9,0.09354143466934853
llama-3-8b,so,16,32,semcor,context,40,0.625,0.13693063937629152
llama-3-8b,so,16,32,semcor,target,40,0.9,0.1224744871391589
llama-3-8b,so,16,32,semcor,combined,40,0.9,0.09354143466934853
qwen2.5-7b,so,14,28,all,context,40,0.7,0.1274754878398196
qwen2.5-7b,so,14,28,all,target,40,0.9,0.09354143466934853
qwen2.5-7b,so,14,28,all,combined,40,0.9,0.09354143466934853
qwen2.5-7b,so,14,28,semcor,context,40,0.7,0.1274754878398196
qwen2.5-7b,so,14,28,semcor,target,40,0.9,0.09354143466934853
qwen2.5-7b,so,14,28,semcor,combined,40,0.9,0.09354143466934853
llama-3-8b,suddenly,16,32,all,context,40,0.425,0.18708286933869706
llama-3-8b,suddenly,16,32,all,target,40,0.6,0.09354143466934853
llama-3-8b,suddenly,16,32,all,combined,40,0.425,0.12747548783981963
llama-3-8b,suddenly,16,32,semcor,context,40,0.425,0.18708286933869706
llama-3-8b,suddenly,16,32,semcor,target,40,0.6,0.09354143466934853
llama-3-8b,suddenly,16,32,semcor,combined,40,0.425,0.12747548783981963
qwen2.5-7b,suddenly,14,28,all,context,40,0.575,0.1
qwen2.5-7b,suddenly,14,28,all,target,40,0.5,0.15811388300841897
qwen2.5-7b,suddenly,14,28,all,combined,40,0.575,0.15
qwen2.5-7b,suddenly,14,28,semcor,context,40,0.575,0.1
qwen2.5-7b,suddenly,14,28,semcor,target,40,0.5,0.15811388300841897
qwen2.5-7b,suddenly,14,28,semcor,combined,40,0.575,0.15
llama-3-8b,then,16,32,all,context,40,0.8,0.09999999999999999
llama-3-8b,then,16,32,all,target,40,0.9,0.1457737973711325
llama-3-8b,then,16,32,all,combined,40,0.9,0.09354143466934853
llama-3-8b,then,16,32,semcor,context,40,0.8,0.09999999999999999
llama-3-8b,then,16,32,semcor,target,40,0.9,0.1457737973711325
llama-3-8b,then,16,32,semcor,combined,40,0.9,0.09354143466934853
qwen2.5-7b,then,14,28,all,context,40,0.825,0.09999999999999999
qwen2.5-7b,then,14,28,all,target,40,0.925,0.09999999999999999
qwen2.5-7b,then,14,28,all,combined,40,0.9,0.1224744871391589
qwen2.5-7b,then,14,28,semcor,context,40,0.825,0.09999999999999999
qwen2.5-7b,then,14,28,semcor,target,40,0.925,0.09999999999999999
qwen2.5-7b,then,14,28,semcor,combined,40,0.9,0.1224744871391589
llama-3-8b,too,16,32,all,context,40,0.725,0.049999999999999996
llama-3-8b,too,16,32,all,target,40,0.925,0.06123724356957946
llama-3-8b,too,16,32,all,combined,40,0.925,0.06123724356957946
llama-3-8b,too,16,32,semcor,context,40,0.725,0.049999999999999996
llama-3-8b,too,16,32,semcor,target,40,0.925,0.06123724356957946
llama-3-8b,too,16,32,semcor,combined,40,0.925,0.06123724356957946
qwen2.5-7b,too,14,28,all,context,40,0.775,0.049999999999999996
qwen2.5-7b,too,14,28,all,target,40,0.925,0.09999999999999999
qwen2.5-7b,too,14,28,all,combined,40,0.925,0.09999999999999999
qwen2.5-7b,too,14,28,semcor,context,40,0.775,0.049999999999999996
qwen2.5-7b,too,14,28,semcor,target,40,0.925,0.09999999999999999
qwen2.5-7b,too,14,28,semcor,combined,40,0.925,0.09999999999999999
